代號, 名稱,divavg, y18, y17, y16, y15, y14
2812, 台中銀,0.406,0.28,0.45,0.55,0.5,0.25
2816, 旺旺保,0.572,0.9,0.7, nan,0.1,1.16
2820, 華票,0.778,0.79,0.71,0.84,0.83,0.72
2823, 中壽,0.52,0,0.8,0.8,0.6,0.4
2832, 台產,1,0.9,1.1,0.9,1.2,0.9
2834, 臺企銀,0.154,0.3,0.27,0.1,0.1,0
2836, 高雄銀,0.18,0.11,0.13,0.6,0.03,0.03
2838, 聯邦銀,0.302,0,0.4,0.45,0.4,0.26
2841, 台開,0.08,0,0, nan,0.2,0.2
2845, 遠東銀,0.422,0.45,0.44,0.42,0.4,0.4
2849, 安泰銀,0.68,1,0.6,0.6,0.6,0.6
2850, 新產,1.724,2.65,1.82,1.51,1.57,1.07
2851, 中再保,0.86,0.9,1,0.5,0.7,1.2
2852, 第一保,0.424,0.49,0.6,0.65, nan,0.38
2855, 統一證,0.582,0.7,1.2,0,0.2,0.81
2867, 三商壽,0.06,0,0,0,0,0.3
2880, 華南金,0.6,0.55,0.5,0.7,0.63,0.62
2881, 富邦金,2.26,2,2.3,2,2,3
2882, 國泰金,2,1.5,2.5,2,2,2
2883, 開發金,0.5,0.3,0.6,0.5,0.5,0.6
2884, 玉山金,0.534,0.71,0.61,0.49,0.43,0.43
2885, 元大金,0.578,0.9,0.56,0.45,0.36,0.62
2886, 兆豐金,1.504,1.7,1.5,1.42,1.5,1.4
2887, 台新金,0.432,0.51,0.54,0.53,0.48,0.1
2888, 新光金,0.168,0.2,0.34,0.2, nan,0.1
2889, 國票金,0.44,0.45,0.65,0.55,0.26,0.29
2890, 永豐金,0.482,0.64,0.5,0.34,0.43,0.5
2891, 中信金,0.94,1,1.08,1,0.81,0.81
2892, 第一金,0.95,1,0.9,1.2,0.95,0.7
2897, 王道銀行,0.15,0,0.3,0.45, nan, nan
2901, 欣欣,0.422,0.39,0.41,0.38,0.49,0.44
2903, 遠百,0.91,0.85,1,0.7,1,1
2904, 匯僑,1.612,1.51,1.2,1.35,2,2
2905, 三商,0.64,0.5,0.8,0.7,0.6,0.6
2906, 高林,0.52,0.4,0.4,0.4,0.5,0.9
2908, 特力,1.132,1.3,1.2,1.08,0.95,1.13
2910, 統領,0.24,0,0,0.5, nan,0.7
2911, 麗嬰房,0.104,0,0.52, nan, nan, nan
2912, 統一超,11.2,8.8,25,8,7.2,7
2913, 農林,0.48,0.3,0.49,0.5,0.5,0.61
2915, 潤泰全,3.578,5.5,4,0.79,1.6,6
2916, 滿心,1.14,1.4,1.2,0.7,1.3,1.1
