代號, 名稱, y18, y17, y16, y15, y14
5880, 合庫金,0.75,0.75,0.75,0.3,0.5
5902, 德記,0,0, nan, nan, nan
5903, 全家,5.8,5.5,5.2,4.6,5
5904, 寶雅,15.75,13,10.8,8.8,7.4
5905, 南仁湖,0.43,0.35,0.3,0.3,0.5
5906, 台南-KY,0,0, nan, nan, nan
5907, 大洋-KY,1.69,1.2,0.97,0.52,3
6005, 群益證,0.4,0.2,0.37,0.49,0.6
6015, 宏遠證,0,0.36, nan, nan,0.3
6016, 康和證,0,0.25, nan,0.21, nan
6020, 大展證,0.03,0.66,0.08, nan,0.42
6021, 大慶證,1,0.35, nan, nan, nan
6023, 元大期,2.8,2,2.47,2.28,6.95
6024, 群益期,3.4,2.87,2.21,2.47,1.5
6026, 福邦證,0.2,1.38,0.35,0.3, nan
6101, 寬魚國際,0,0, nan, nan, nan
6103, 合邦,0,0, nan, nan, nan
6104, 創惟,2.36,1.3,2.19,3,4
6108, 競國,2.5,1.35,2, nan,1.1
6109, 亞元,0.1,0.5,1,1.2,0.8
6111, 大宇資,0,0, nan, nan, nan
6112, 聚碩,1.5,1.5,1.5,1.5,2
6113, 亞矽,0,0, nan, nan, nan
6114, 久威,1.5,1.5,3,2.5, nan
6115, 鎰勝,3,3,4,3.5,3.49
6116, 彩晶,0.3,0.5,0.5, nan, nan
6117, 迎廣,0,1.2, nan, nan,0.3
6118, 建達,0,0, nan, nan, nan
6120, 達運,0.34,0.4,0.28,0.2,0.8
6121, 新普,11.5,10,6,7,7
6122, 擎邦,0,0, nan, nan, nan
6123, 上奇,3.1,3,0.5,2.1,1.51
6124, 業強,0,0, nan, nan, nan
6125, 廣運,0.51,0.3,0.5,0.5,0.5
6126, 信音,0.3,0.34, nan, nan, nan
6127, 九豪,0,0.25,0.3, nan, nan
6128, 上福,2,0.5,2.8,3,2.8
6129, 普誠,0,0, nan, nan, nan
6130, 星寶國際,0,0, nan, nan,2
6131, 鈞泰,0, nan, nan, nan, nan
6133, 金橋,0.25,0.25,0.2,0.4,0.39
6134, 萬旭,0,0, nan, nan, nan
